Athlete,Medal,Count
"ADRIAN, Nathan",Gold,1
"BERENS, Ricky",Gold,1
"BERNARD, Alain",Bronze,1
"BERNARD, Alain",Gold,1
"BERNARD, Alain",Silver,1
"BOUSQUET, Frederick",Silver,1
"BRITS, Grant",Bronze,1
"BRODIE, Leith",Bronze,2
"CALLUS, Ashley",Bronze,1
"CAVIC, Milorad",Silver,1
"CIELO FILHO, Cesar",Bronze,1
"CIELO FILHO, Cesar",Gold,1
"COCHRANE, Ryan",Bronze,1
"CROCKER, Ian",Gold,1
"CSEH, Laszlo",Silver,3
"DAVIES, David",Silver,1
"DELANEY, Ashley",Silver,1
"DUBOSCQ, Hugues",Bronze,2
"FFROST, Nick",Bronze,1
"FUJII, Takuro",Bronze,1
"GANGLOFF, Mark",Gold,1
"GILOT, Fabien",Silver,1
"GREVERS, Matt",Gold,2
"GREVERS, Matt",Silver,1
"HACKETT, Grant",Bronze,1
"HACKETT, Grant",Silver,1
"HANSEN, Brendan",Gold,1
"IZOTOV, Danila",Silver,1
"JENSEN, Larsen",Bronze,1
"JONES, Cullen",Gold,1
"KELLER, Klete",Gold,1
"KITAJIMA, Kosuke",Bronze,1
"KITAJIMA, Kosuke",Gold,2
"LAGUNOV, Evgeniy",Silver,1
"LAUTERSTEIN, Andrew",Bronze,2
"LAUTERSTEIN, Andrew",Silver,1
"LEVEAUX, Amaury",Silver,2
"LEZAK, Jason",Bronze,1
"LEZAK, Jason",Gold,2
"LOBINTSEV, Nikita",Silver,1
"LOCHTE, Ryan",Bronze,2
"LOCHTE, Ryan",Gold,2
"LURZ, Thomas",Bronze,1
"MALLET, Gregory",Silver,1
"MATSUDA, Takeshi",Bronze,1
"MELLOULI, Oussama",Gold,1
"MIYASHITA, Junichi",Bronze,1
"MURPHY, Patrick",Bronze,2
"OEN, Alexander Dale",Silver,1
"PALMER, Kirk",Bronze,1
"PARK, Taehwan",Gold,1
"PARK, Taehwan",Silver,1
"PEIRSOL, Aaron",Gold,2
"PEIRSOL, Aaron",Silver,1
"PHELPS, Michael",Gold,8
"PINE, Adam",Silver,1
"POLISHCHUK, Mikhail",Silver,1
"RICKARD, Brenton",Silver,2
"SATO, Hisayoshi",Bronze,1
"SPRENGER, Christian",Silver,1
"STEIMETZ, Boris",Silver,1
"STOECKEL, Hayden",Bronze,1
"STOECKEL, Hayden",Silver,1
"SUKHORUKOV, Alexander",Silver,1
"SULLIVAN, Eamon",Bronze,1
"SULLIVAN, Eamon",Silver,2
"TARGETT, Matt",Bronze,1
"TARGETT, Matt",Silver,1
"VAN DER WEIJDEN, Maarten",Gold,1
"VANDERKAAY, Peter",Bronze,1
"VANDERKAAY, Peter",Gold,1
"VENDT, Erik",Gold,1
"VYATCHANIN, Arkady",Bronze,2
"WALTERS, David",Gold,1
"WEBER-GALE, Garrett",Gold,2
"WILDMAN-TOBRINER, Ben",Gold,1
"ZHANG, Lin",Silver,1
